SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
"Life, Physical, and Social Science (19-0000)",Soil and Plant Scientists,Soil and Plant Scientists (19-1013),25.31254622,0.021,6
"Life, Physical, and Social Science (19-0000)",Survey Researchers,Survey Researchers (19-3022),8.988130509,0.23,6
"Life, Physical, and Social Science (19-0000)",Urban and Regional Planners,Urban and Regional Planners (19-3051),187.8474323,0.13,6
"Life, Physical, and Social Science (19-0000)",Zoologists and Wildlife Biologists,Zoologists and Wildlife Biologists (19-1023),167.0049199,0.3,6
"Education, Training, and Library (25-0000)",Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Basic and Secondary Education and Literacy Teachers and Instructors (25-3011),247.1615655,0.19,7
"Education, Training, and Library (25-0000)",Archivists,Archivists (25-4011),16.99007916,0.76,7
"Education, Training, and Library (25-0000)",Audio-Visual and Multimedia Collections Specialists,Audio-Visual and Multimedia Collections Specialists (25-9011),9.19170811,0.39,7
"Education, Training, and Library (25-0000)","Career/Technical Education Teachers, Middle School","Career/Technical  Education Teachers, Middle School (25-2023)",54.78476478,0.26,7
"Education, Training, and Library (25-0000)","Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School (25-2032)",341.1588591,0.0088,7
"Education, Training, and Library (25-0000)",Curators,Curators (25-4012),51.42886962,0.0068,7
"Education, Training, and Library (25-0000)","Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education (25-2021)",3530.756278,0.0044,7
"Education, Training, and Library (25-0000)",Farm and Home Management Advisors,Farm and Home Management Advisors (25-9021),5.102634718,0.0075,7
"Education, Training, and Library (25-0000)",Instructional Coordinators,Instructional Coordinators (25-9031),245.8643574,0.0042,7
"Education, Training, and Library (25-0000)","Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education (25-2012)",924.5039164,0.15,7
"Education, Training, and Library (25-0000)",Librarians,Librarians (25-4021),269.0854628,0.65,7
"Education, Training, and Library (25-0000)",Library Technicians,Library Technicians (25-4031),172.0079139,0.99,7
"Education, Training, and Library (25-0000)","Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special and Career/Technical Education (25-2022)",1215.16965,0.17,7
"Education, Training, and Library (25-0000)",Museum Technicians and Conservators,Museum Technicians and Conservators (25-4013),64.55439732,0.59,7
"Education, Training, and Library (25-0000)","Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education (25-2011)",1330.54365,0.0074,7
"Education, Training, and Library (25-0000)","Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special and Career/Technical Education (25-2031)",1900.142498,0.0078,7
"Education, Training, and Library (25-0000)",Self-Enrichment Education Teachers,Self-Enrichment Education Teachers (25-3021),938.4207806,0.13,7
"Education, Training, and Library (25-0000)","Special Education Teachers, Middle School","Special Education Teachers, Middle School (25-2053)",159.994572,0.016,7
"Education, Training, and Library (25-0000)","Special Education Teachers, Secondary School","Special Education Teachers, Secondary School (25-2054)",274.7551834,0.0077,7
"Education, Training, and Library (25-0000)",Teacher Assistants,Teacher Assistants (25-9041),4506.378213,0.56,7
Healthcare Practitioners and Technical (29-0000),Athletic Trainers,Athletic Trainers (29-9091),59.67162693,0.0071,8
Healthcare Practitioners and Technical (29-0000),Audiologists,Audiologists (29-1181),39.55814438,0.0033,8
Healthcare Practitioners and Technical (29-0000),Cardiovascular Technologists and Technicians,Cardiovascular Technologists and Technicians (29-2031),129.3814805,0.23,8
Healthcare Practitioners and Technical (29-0000),Chiropractors,Chiropractors (29-1011),178.9843358,0.027,8
Healthcare Practitioners and Technical (29-0000),Dental hygienists,Dental Hygienists (29-2021),627.229192,0.68,8
Healthcare Practitioners and Technical (29-0000),"Dentists, General","Dentists, General (29-1021)",350.4172618,0.0044,8
Healthcare Practitioners and Technical (29-0000),Diagnostic Medical Sonographers,Diagnostic Medical Sonographers (29-2032),175.6239039,0.35,8
Healthcare Practitioners and Technical (29-0000),Dietetic Technicians,Dietetic Technicians (29-2051),71.25033971,0.13,8
Healthcare Practitioners and Technical (29-0000),Dietitians and Nutritionists,Dietitians and Nutritionists (29-1031),178.3432542,0.0039,8
Healthcare Practitioners and Technical (29-0000),Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics (29-2041),299.9642874,0.049,8
Healthcare Practitioners and Technical (29-0000),"Health Diagnosing and Treating Practitioners, All Other","Health Diagnosing and Treating Practitioners, All Other (29-1199)",158.0667018,0.02,8
Healthcare Practitioners and Technical (29-0000),Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses (29-2061),923.0113884,0.058,8
Healthcare Practitioners and Technical (29-0000),Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technicians (29-2012),338.7083961,0.47,8
Healthcare Practitioners and Technical (29-0000),Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologists (29-2011),361.468456,0.9,8
